Codering_3,HuishoudensTotaal_28,IndelingswijzigingWijkenEnBuurten_4,Year
BU08990512,440,1,2021
BU08990513,200,1,2021
BU08990519,545,1,2021
BU08990520,190,1,2021
BU08990521,410,1,2021
BU08990522,75,1,2021
BU08990523,565,1,2021
BU08990527,490,1,2021
BU01091000,1375,1,2021
BU01091001,560,1,2021
BU01091002,575,1,2021
BU01091003,1325,1,2021
BU01091004,850,1,2021
BU01091006,55,1,2021
BU01091007,675,1,2021
BU01091008,530,1,2021
BU01091009,25,1,2021
BU01091010,10,1,2021
BU01091011,45,1,2021
BU01091012,25,1,2021
BU01091013,0,1,2021
BU01091014,60,1,2021
BU01091015,325,1,2021
BU01091116,255,1,2021
BU01091117,120,1,2021
BU01091218,60,1,2021
BU01091219,0,1,2021
BU01091320,30,1,2021
BU01091421,45,1,2021
BU01092022,1475,1,2021
BU01092023,155,1,2021
BU01092024,110,1,2021
BU01092025,35,1,2021
BU01092026,250,1,2021
BU01092027,95,1,2021
BU01092028,120,1,2021
BU01092029,20,1,2021
BU01092030,70,1,2021
BU01092031,25,1,2021
BU01093032,805,1,2021
BU01093033,45,1,2021
BU01093034,225,1,2021
BU01093035,30,1,2021
BU01093036,100,1,2021
BU01093037,50,1,2021
BU01093038,300,1,2021
BU01093039,250,1,2021
BU01093068,25,1,2021
BU01094040,985,1,2021
BU01094041,30,1,2021
BU01094042,20,1,2021
BU01094043,195,1,2021
BU01094044,95,1,2021
BU01094045,15,1,2021
BU01094046,35,1,2021
BU01094047,920,1,2021
BU01094048,120,1,2021
BU01094049,50,1,2021
BU01094050,10,1,2021
BU01094051,65,1,2021
BU01094052,20,1,2021
BU01094053,155,1,2021
BU01094054,30,1,2021
BU01094055,40,1,2021
BU01094056,35,1,2021
BU01094057,220,1,2021
BU01095058,140,1,2021
BU01095059,760,1,2021
BU01095060,20,1,2021
BU01095061,135,1,2021
BU01095062,30,1,2021
BU01095063,70,1,2021
BU01095064,75,1,2021
BU01095065,60,1,2021
