BU_2021,BU_NAAM,WK_2021,WK_NAAM,GM_2021,GM_NAAM,ProvinciecodePV,Provincienaam
236,BU00370203,Ceresdorp,WK003702,Musselkanaal,GM0037,Stadskanaal,PV20,Groningen
237,BU00370300,Onstwedde,WK003703,Onstwedde,GM0037,Stadskanaal,PV20,Groningen
238,BU00370301,Holte,WK003703,Onstwedde,GM0037,Stadskanaal,PV20,Groningen
239,BU00370308,Onstwedde Buitengebied Noord,WK003703,Onstwedde,GM0037,Stadskanaal,PV20,Groningen
240,BU00370309,Onstwedde Buitengebied Zuid,WK003703,Onstwedde,GM0037,Stadskanaal,PV20,Groningen
241,BU00370400,Mussel,WK003704,Mussel,GM0037,Stadskanaal,PV20,Groningen
242,BU00370401,Kopstukken,WK003704,Mussel,GM0037,Stadskanaal,PV20,Groningen
243,BU00370402,Vledderveen,WK003704,Mussel,GM0037,Stadskanaal,PV20,Groningen
244,BU00370409,Mussel Buitengebied,WK003704,Mussel,GM0037,Stadskanaal,PV20,Groningen
245,BU00370500,Alteveer,WK003705,Alteveer,GM0037,Stadskanaal,PV20,Groningen
246,BU00370509,Alteveer Buitengebied,WK003705,Alteveer,GM0037,Stadskanaal,PV20,Groningen
247,BU00470000,Veendam-Centrum,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
248,BU00470001,Veendam-Oude Ae,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
249,BU00470002,Veendam-Middenweg en omgeving,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
250,BU00470003,Veendam en omgeving station,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
251,BU00470004,Veendam-Zuid,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
252,BU00470005,Veendam-Sorghvliet,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
253,BU00470006,Veendam-industriegebied,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
254,BU00470007,Buitenwoel,WK004700,Wijk 00 Veendam-kern,GM0047,Veendam,PV20,Groningen
255,BU00470100,Borgercompagnie (gedeeltelijk),WK004701,Wijk 01 Veendam-buitengebied,GM0047,Veendam,PV20,Groningen
256,BU00470101,Ommelanderwijk,WK004701,Wijk 01 Veendam-buitengebied,GM0047,Veendam,PV20,Groningen
257,BU00470102,Zuidwending,WK004701,Wijk 01 Veendam-buitengebied,GM0047,Veendam,PV20,Groningen
