WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,Woningvoorraad_34,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,GemiddeldInkomenPerInwoner_72,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,MateVanStedelijkheid_115
Verspreide huizen Gieterveen,Aa en Hunze,Buurt,BU16801809,9511,95,2.2,14.0,88,279.0,100.0,97.0,0.0,3.0,6.0,3250.0,2270.0,2.3125,0.9302325581395349,28.7,0.3157894736842105,1.3,1.8,5.0
Rolde,Aa en Hunze,Buurt,BU16801900,9451,1705,2.1,1121.0,1853,240.0,81.0,70.0,26.0,5.0,9.0,2780.0,1610.0,2.0681818181818183,0.8288770053475936,27.1,0.15835777126099707,1.2,0.9,5.0
Nijlande,Aa en Hunze,Buurt,BU16801902,9452,25,2.3,287.0,26,,100.0,96.0,0.0,4.0,0.0,4130.0,2230.0,2.0,1.5384615384615385,,0.2,,2.3,5.0
Deurze,Aa en Hunze,Buurt,BU16801903,9457,30,2.8,175.0,32,,100.0,91.0,0.0,6.0,3.0,3880.0,2380.0,2.142857142857143,1.1111111111111112,,0.5,,3.1,5.0
Verspreide huizen Rolde,Aa en Hunze,Buurt,BU16801909,9448,55,2.6,7.0,56,,100.0,88.0,0.0,13.0,13.0,3940.0,2560.0,2.090909090909091,0.6896551724137931,33.7,0.6363636363636364,1.7,2.7,5.0
Grolloo,Aa en Hunze,Buurt,BU16802000,9444,260,2.4,813.0,275,266.0,95.0,84.0,10.0,5.0,4.0,3250.0,1850.0,2.0833333333333335,0.8,30.4,0.25,1.4,0.6,5.0
Schoonloo,Aa en Hunze,Buurt,BU16802001,9443,85,2.1,257.0,84,274.0,98.0,82.0,10.0,8.0,13.0,3360.0,2020.0,2.1333333333333333,1.0526315789473684,28.8,0.29411764705882354,1.2,4.4,5.0
Ekehaar,Aa en Hunze,Buurt,BU16802100,9454,105,2.4,711.0,109,287.0,99.0,87.0,8.0,5.0,11.0,3700.0,1950.0,2.25,0.7407407407407407,29.5,0.23809523809523808,1.3,0.4,5.0
Verspreide huizen Ekehaar,Aa en Hunze,Buurt,BU16802109,9453,45,3.0,8.0,47,,100.0,94.0,0.0,6.0,13.0,4760.0,3220.0,2.272727272727273,0.6666666666666666,27.4,0.6666666666666666,,1.9,5.0
Overcingel,Assen,Buurt,BU01060002,9401,285,1.6,2296.0,280,249.0,30.0,57.0,16.0,27.0,0.0,2340.0,1300.0,2.1739130434782608,0.8695652173913043,32.2,0.19298245614035087,1.0,0.9,2.0
Cultuureelkwartier,Assen,Buurt,BU01060006,9401,230,1.6,4276.0,225,204.0,33.0,45.0,45.0,9.0,32.0,2010.0,1270.0,2.25,0.8108108108108109,30.4,0.17391304347826086,0.8,0.5,1.0
Oude Gasfabriek,Assen,Buurt,BU01060007,9401,105,2.2,1771.0,107,223.0,93.0,93.0,0.0,7.0,5.0,2850.0,1660.0,2.3684210526315788,0.8695652173913043,29.7,0.23809523809523808,1.0,0.4,3.0
Asserbos,Assen,Buurt,BU01060009,9401,35,1.6,46.0,33,,30.0,30.0,0.0,70.0,0.0,2850.0,2520.0,,0.0,,0.14285714285714285,,1.1,4.0
De Esch,Assen,Buurt,BU01060010,9401,345,2.0,5414.0,350,242.0,76.0,92.0,0.0,8.0,8.0,2540.0,1770.0,2.3653846153846154,0.8450704225352113,31.2,0.2318840579710145,1.1,0.9,2.0
Bomenbuurt,Assen,Buurt,BU01060011,9401,290,1.8,3205.0,297,248.0,55.0,53.0,29.0,18.0,29.0,2480.0,1810.0,2.41025641025641,0.9345794392523364,33.3,0.13793103448275862,0.9,1.0,2.0
De Lariks Oost,Assen,Buurt,BU01060100,9406,795,1.5,5131.0,788,128.0,43.0,34.0,63.0,3.0,7.0,1910.0,1090.0,2.0114942528735633,0.8239700374531835,22.8,0.06289308176100629,0.6,0.3,2.0
Landgoed Lariks,Assen,Buurt,BU01060101,9406,425,1.7,2398.0,431,188.0,40.0,67.0,23.0,10.0,19.0,2560.0,1250.0,2.0943396226415096,0.875,30.6,0.08235294117647059,0.8,0.8,2.0
De Lariks West,Assen,Buurt,BU01060102,9406,795,1.8,5040.0,786,128.0,63.0,58.0,24.0,18.0,5.0,2190.0,1170.0,1.8157894736842106,0.8247422680412371,21.3,0.08176100628930817,0.8,1.2,3.0
Luchiesland Zuid,Assen,Buurt,BU01060103,9406,390,1.8,3728.0,393,110.0,62.0,41.0,46.0,12.0,0.0,2030.0,1040.0,1.7636363636363637,0.8571428571428571,19.3,0.07692307692307693,0.7,0.8,2.0
Zuid Molukse Buurt,Assen,Buurt,BU01060104,9406,235,2.0,4906.0,227,125.0,93.0,7.0,92.0,0.0,0.0,2330.0,1340.0,1.75,0.851063829787234,21.3,0.0425531914893617,0.7,0.8,2.0
Luchiesland Noord,Assen,Buurt,BU01060105,9406,405,1.8,5085.0,399,105.0,58.0,20.0,78.0,2.0,0.0,1860.0,1140.0,1.8035714285714286,0.8275862068965517,17.2,0.04938271604938271,0.7,0.7,2.0
