WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
Noordbarge,Emmen,Buurt,1145200,7812,410,2.3,962.0,276.0,99.0,90.0,5.0,5.0,9.0,3640.0,2040.0,2.0348837209302326,0.730593607305936,0.36585365853658536,1.7,0.5,969.0
Zuidbarge,Emmen,Buurt,1145201,7812,150,2.6,412.0,336.0,95.0,96.0,0.0,4.0,15.0,4010.0,2270.0,2.1,0.7894736842105263,0.36666666666666664,1.6,1.3,642.0
Industrieterrein Bargermeer,Emmen,Buurt,1145300,7825,20,2.0,5.0,,69.0,69.0,0.0,31.0,23.0,3820.0,2230.0,1.6666666666666667,0.0,36.75,,1.7,384.0
Bedrijvenpark A37,Emmen,Buurt,1145301,7825,1,,,,,,,,,,,,,20.0,,,158.0
Centrum,Hoogeveen,Buurt,1185000,7902,830,1.4,3675.0,151.0,6.0,41.0,30.0,28.0,40.0,2140.0,890.0,1.8505747126436782,0.8906882591093117,0.3855421686746988,0.8,0.4,2279.0
Noord,Hoogeveen,Buurt,1185001,7901,685,1.9,2775.0,173.0,49.0,53.0,38.0,9.0,23.0,2440.0,1320.0,1.8823529411764706,0.8178438661710037,0.18248175182481752,1.0,0.6,1195.0
Bentinckspark,Hoogeveen,Buurt,1185002,7902,210,2.4,713.0,199.0,99.0,79.0,18.0,2.0,19.0,3000.0,1630.0,1.725,0.7920792079207921,0.30952380952380953,1.2,0.8,1540.0
Krakeel,Hoogeveen,Buurt,1185003,7904,2180,2.3,5994.0,146.0,77.0,51.0,46.0,3.0,18.0,2530.0,1150.0,1.6839237057220708,0.7580174927113703,0.07110091743119266,1.0,0.7,1035.0
Wolfsbos,Hoogeveen,Buurt,1185004,7905,1975,2.1,4510.0,139.0,64.0,56.0,40.0,4.0,10.0,2390.0,1260.0,1.7220447284345048,0.7953216374269005,0.07088607594936709,1.0,0.6,1494.0
Zuid,Hoogeveen,Buurt,1185005,7906,3140,2.0,4970.0,134.0,57.0,50.0,39.0,10.0,9.0,2250.0,1150.0,1.6893617021276597,0.8179631114675221,0.07802547770700637,0.9,0.4,2066.0
Venesluis,Hoogeveen,Buurt,1185006,7907,970,1.9,2221.0,161.0,65.0,42.0,50.0,8.0,7.0,2480.0,1370.0,1.748091603053435,0.8695652173913043,0.10824742268041238,0.9,0.7,1915.0
West,Hoogeveen,Buurt,1185007,7901,895,2.0,2389.0,163.0,60.0,42.0,46.0,12.0,14.0,2150.0,1180.0,1.84375,0.7281553398058253,0.1340782122905028,1.1,0.4,1943.0
Oost,Hoogeveen,Buurt,1185008,7902,1265,2.0,4890.0,130.0,76.0,39.0,54.0,6.0,8.0,2420.0,1300.0,1.6775956284153006,0.8016032064128257,0.11462450592885376,0.8,0.4,1987.0
Steenbergerweiden,Hoogeveen,Buurt,1185100,7908,480,2.1,3198.0,192.0,62.0,76.0,14.0,10.0,0.0,2510.0,1180.0,1.9857142857142858,0.9090909090909091,0.11458333333333333,1.1,0.4,1278.0
Kinholt,Hoogeveen,Buurt,1185101,7909,390,2.2,1631.0,298.0,100.0,99.0,0.0,1.0,0.0,3270.0,1920.0,,0.9195402298850575,0.20512820512820512,1.4,0.7,726.0
Grittenhof,Hoogeveen,Buurt,1185102,7909,5,1.0,1819.0,,3.0,0.0,97.0,0.0,97.0,,700.0,,0.0,1.0,,0.5,967.0
Schoonvelde-West,Hoogeveen,Buurt,1185103,7908,695,2.5,5936.0,167.0,99.0,82.0,12.0,6.0,0.0,2750.0,1450.0,1.894736842105263,0.7954545454545454,0.08633093525179857,1.2,0.5,1308.0
