WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
Verspreide huizen Oosterhesselen,Coevorden,Buurt,1093033,7861,50,2.8,11.0,,100.0,81.0,0.0,19.0,6.0,4350.0,2280.0,2.2222222222222223,0.6896551724137931,0.6,1.6,2.7,49.0
Gees,Coevorden,Buurt,1093034,7863,225,2.3,615.0,254.0,97.0,81.0,13.0,6.0,4.0,3560.0,1820.0,2.0476190476190474,0.7476635514018691,0.26666666666666666,1.5,2.8,92.0
Verspreide huizen Gees,Coevorden,Buurt,1093035,7863,30,2.0,5.0,,88.0,81.0,0.0,19.0,19.0,3390.0,1650.0,2.0,1.6666666666666667,0.3333333333333333,,3.8,43.0
Zwinderen,Coevorden,Buurt,1093036,7864,95,2.6,292.0,255.0,100.0,96.0,0.0,4.0,12.0,3620.0,1930.0,2.25,0.8163265306122449,0.3157894736842105,1.8,3.1,34.0
Verspreide huizen Zwinderen,Coevorden,Buurt,1093037,7864,50,2.9,11.0,,100.0,84.0,0.0,16.0,10.0,4700.0,1850.0,2.0,0.6666666666666666,0.8,1.2,3.7,16.0
Geesbrug,Coevorden,Buurt,1093038,7917,290,2.4,1429.0,171.0,100.0,77.0,21.0,2.0,14.0,3130.0,1540.0,1.6666666666666667,0.8391608391608392,0.13793103448275862,1.3,0.4,112.0
Verspreide huizen Geesbrug,Coevorden,Buurt,1093039,7917,225,2.6,32.0,282.0,94.0,87.0,0.0,12.0,18.0,4450.0,2220.0,1.8666666666666667,0.8547008547008547,0.5555555555555556,1.7,1.4,45.0
Verspreide huizen Nieuwlande,Coevorden,Buurt,1093068,7929,25,2.2,14.0,,100.0,100.0,0.0,0.0,8.0,3880.0,2100.0,2.25,1.8181818181818181,0.6,,2.8,15.0
Sleen,Coevorden,Buurt,1094040,7841,960,2.2,1031.0,212.0,93.0,72.0,25.0,3.0,11.0,2850.0,1660.0,1.9871794871794872,0.851063829787234,0.15104166666666666,1.3,0.5,292.0
Diphoorn,Coevorden,Buurt,1094041,7842,30,2.3,164.0,,93.0,97.0,0.0,3.0,10.0,4440.0,3070.0,2.25,1.4285714285714286,0.3333333333333333,,1.7,102.0
Verspreide huizen Sleen,Coevorden,Buurt,1094042,7841,20,3.0,6.0,,,,,,,3310.0,1960.0,2.0,0.0,0.5,,2.3,79.0
Noord-Sleen,Coevorden,Buurt,1094043,7846,195,2.3,498.0,278.0,98.0,96.0,1.0,3.0,6.0,3600.0,2030.0,2.264705882352941,0.8791208791208791,0.28205128205128205,1.4,0.9,54.0
't Haantje,Coevorden,Buurt,1094044,7847,90,2.2,366.0,256.0,98.0,82.0,11.0,7.0,8.0,3480.0,1890.0,1.875,1.0,0.2222222222222222,1.5,4.1,28.0
Verspreide huizen 't Haantje,Coevorden,Buurt,1094045,7847,10,2.4,8.0,,,,,,,4070.0,1890.0,,0.0,0.5,,4.0,22.0
Verspreide huizen Noord-Sleen,Coevorden,Buurt,1094046,7846,30,3.3,10.0,,97.0,97.0,0.0,3.0,33.0,3610.0,2290.0,2.25,0.9523809523809523,0.8333333333333334,,2.5,22.0
Schoonoord,Coevorden,Buurt,1094047,7848,910,2.1,1189.0,188.0,97.0,56.0,40.0,4.0,11.0,2940.0,1550.0,1.6866666666666668,0.7980049875311721,0.13186813186813187,1.2,0.4,284.0
De Kiel,Coevorden,Buurt,1094048,7849,120,2.3,705.0,228.0,100.0,84.0,12.0,4.0,2.0,3140.0,1600.0,1.8636363636363635,0.7142857142857143,0.16666666666666666,1.4,0.4,77.0
Verspreide huizen De Kiel,Coevorden,Buurt,1094049,7849,45,2.1,28.0,,96.0,98.0,0.0,2.0,12.0,3960.0,1900.0,2.0,1.0,0.4444444444444444,,1.3,41.0
Verspreide huizen Kibbelveen,Coevorden,Buurt,1094050,7848,10,2.5,12.0,,,,,,,,,,0.0,1.0,,3.9,6.0
Verspreide huizen Schoonoord,Coevorden,Buurt,1094051,7848,60,2.1,12.0,,100.0,90.0,0.0,10.0,13.0,3900.0,2210.0,2.1,0.8333333333333334,0.5,1.3,2.3,35.0
Verspreide huizen Veenoord,Coevorden,Buurt,1094052,7845,20,2.5,13.0,,,,,,,4070.0,2340.0,,0.0,0.25,,2.6,29.0
Erm,Coevorden,Buurt,1094053,7843,160,2.5,468.0,278.0,96.0,93.0,0.0,7.0,6.0,3690.0,1970.0,2.129032258064516,0.759493670886076,0.25,1.6,0.6,91.0
Achterste Erm,Coevorden,Buurt,1094054,7843,30,2.4,152.0,,93.0,100.0,0.0,0.0,17.0,4480.0,2770.0,2.0,1.4285714285714286,0.5,,1.8,37.0
Holsloot,Coevorden,Buurt,1094055,7845,45,2.3,145.0,,90.0,95.0,0.0,5.0,7.0,4120.0,2370.0,,0.9090909090909091,0.3333333333333333,,4.1,18.0
Verspreide huizen Holsloot,Coevorden,Buurt,1094056,7845,35,2.6,13.0,,89.0,94.0,0.0,6.0,6.0,4880.0,2430.0,2.2857142857142856,1.1111111111111112,0.7142857142857143,,2.9,13.0
Verspreide huizen Elm,Coevorden,Buurt,1094057,7843,210,1.7,37.0,,100.0,76.0,0.0,23.0,5.0,3120.0,1880.0,1.793103448275862,0.8450704225352113,0.16666666666666666,1.1,1.2,125.0
Zweeloo,Coevorden,Buurt,1095058,7851,145,2.3,546.0,278.0,86.0,85.0,3.0,11.0,2.0,3590.0,2080.0,2.0689655172413794,0.8571428571428571,0.4482758620689655,1.5,1.7,166.0
Aalden,Coevorden,Buurt,1095059,7854,750,2.2,1503.0,195.0,94.0,71.0,21.0,8.0,12.0,2850.0,1650.0,1.923728813559322,0.8641975308641975,0.14666666666666667,1.2,0.6,285.0
Verspreide huizen Zweeloo,Coevorden,Buurt,1095060,7854,15,3.3,24.0,,100.0,76.0,0.0,19.0,10.0,5840.0,2710.0,1.8666666666666667,0.0,1.3333333333333333,,1.1,156.0
Meppen,Coevorden,Buurt,1095061,7855,135,2.3,523.0,295.0,97.0,92.0,0.0,8.0,6.0,3600.0,2090.0,2.08,0.967741935483871,0.2962962962962963,1.5,2.3,63.0
Verspreide huizen Meppen,Coevorden,Buurt,1095062,7855,35,2.2,5.0,,86.0,93.0,0.0,7.0,4.0,2860.0,1850.0,1.8571428571428572,1.1764705882352942,0.7142857142857143,,2.6,53.0
Wezup,Coevorden,Buurt,1095063,7852,70,2.2,244.0,328.0,100.0,92.0,0.0,8.0,8.0,3940.0,2290.0,2.3846153846153846,0.6060606060606061,0.5,2.0,1.3,24.0
Wezuperbrug,Coevorden,Buurt,1095064,7853,75,2.3,218.0,256.0,96.0,82.0,5.0,12.0,8.0,3860.0,1670.0,1.9285714285714286,1.1764705882352942,0.26666666666666666,1.9,2.0,39.0
Benneveld,Coevorden,Buurt,1095065,7856,60,2.5,452.0,324.0,94.0,94.0,0.0,6.0,0.0,3820.0,2380.0,2.3846153846153846,0.6896551724137931,0.5,1.6,3.6,21.0
Verspreide huizen Benneveld,Coevorden,Buurt,1095066,7856,10,2.7,4.0,,,,,,,3430.0,1590.0,,0.0,0.5,,3.9,14.0
Verspreide huizen Wezuperbrug,Coevorden,Buurt,1095067,7853,20,2.3,4.0,,,,,,,3900.0,1600.0,,0.0,1.25,,1.3,44.0
Derde Kruisdiep,Emmen,Buurt,1140100,7831,230,2.4,1064.0,169.0,99.0,88.0,7.0,4.0,5.0,3250.0,1950.0,1.8222222222222222,0.8928571428571429,0.2826086956521739,1.7,2.5,94.0
Eerste Kruisdiep,Emmen,Buurt,1140101,7831,845,2.3,991.0,130.0,93.0,53.0,44.0,3.0,17.0,2920.0,1610.0,1.7755102040816326,0.837696335078534,0.13609467455621302,1.2,0.5,263.0
Tramwijk,Emmen,Buurt,1140102,7831,90,2.8,478.0,184.0,100.0,92.0,0.0,8.0,7.0,3570.0,1980.0,1.8421052631578947,0.8163265306122449,0.2777777777777778,1.5,2.7,47.0
Achterdiep,Emmen,Buurt,1140103,7831,95,2.7,745.0,178.0,100.0,91.0,3.0,6.0,12.0,3690.0,2300.0,2.0,0.7843137254901961,0.3157894736842105,1.6,1.3,83.0
Weerdingerkanaal,Emmen,Buurt,1140104,7831,85,2.5,460.0,192.0,98.0,84.0,0.0,16.0,11.0,4090.0,1980.0,1.8235294117647058,0.8888888888888888,0.35294117647058826,2.3,1.7,54.0
Siepelveen,Emmen,Buurt,1140106,7831,35,2.7,127.0,,100.0,97.0,0.0,3.0,5.0,3280.0,1870.0,1.625,1.0,0.14285714285714285,,3.3,16.0
Verspreide huizen Nieuw-Weerdinge,Emmen,Buurt,1140109,7831,45,2.4,6.0,,100.0,76.0,0.0,24.0,16.0,3340.0,1930.0,2.1,0.8695652173913043,0.5555555555555556,,2.6,51.0
Roswinkel-Centrum,Emmen,Buurt,1140200,7895,150,2.2,839.0,159.0,97.0,73.0,19.0,8.0,7.0,3040.0,1870.0,1.625,0.9090909090909091,0.2,1.6,0.3,72.0
Oude Schuttingskanaal,Emmen,Buurt,1140206,7895,40,2.5,111.0,,100.0,100.0,0.0,0.0,10.0,3700.0,1920.0,2.0,0.9523809523809523,0.375,,2.1,17.0
Roswinkelerstraat,Emmen,Buurt,1140208,7895,80,2.4,366.0,213.0,98.0,92.0,0.0,8.0,6.0,3680.0,2160.0,1.9375,0.5128205128205128,0.375,1.7,0.8,55.0
Verspreide huizen Roswinkel,Emmen,Buurt,1140209,7895,75,2.4,10.0,187.0,97.0,89.0,6.0,5.0,6.0,3650.0,1690.0,1.875,1.1111111111111112,0.3333333333333333,1.0,2.1,32.0
Emmer-Compascuum-Centrum,Emmen,Buurt,1140300,7881,2180,2.2,1745.0,142.0,85.0,60.0,34.0,6.0,9.0,2890.0,1460.0,1.6284153005464481,0.8227848101265823,0.10550458715596331,1.2,0.5,505.0
Emmer-Erfscheidenveen,Emmen,Buurt,1140301,7881,730,2.5,618.0,176.0,98.0,88.0,7.0,5.0,12.0,3440.0,1790.0,1.8424657534246576,0.8264462809917356,0.2465753424657534,1.6,0.6,150.0
Foxel,Emmen,Buurt,1140302,7881,165,2.5,558.0,178.0,100.0,93.0,4.0,4.0,4.0,3650.0,1800.0,1.8108108108108107,0.963855421686747,0.21212121212121213,1.6,2.0,59.0
Oosterdiep,Emmen,Buurt,1140303,7881,180,2.6,516.0,186.0,98.0,94.0,0.0,6.0,5.0,3640.0,1870.0,1.736842105263158,0.8421052631578947,0.19444444444444445,1.7,1.2,87.0
Hoofdkanaal,Emmen,Buurt,1140304,7881,25,2.4,120.0,,100.0,90.0,0.0,10.0,3.0,3940.0,2020.0,1.4,1.5384615384615385,0.6,,1.1,40.0
Verspreide huizen Emmer-Compascuum,Emmen,Buurt,1140309,7881,75,2.7,7.0,182.0,100.0,91.0,0.0,9.0,12.0,4020.0,1870.0,1.9411764705882353,0.975609756097561,0.5333333333333333,1.2,1.5,116.0
Barger-Compascuum-Centrum,Emmen,Buurt,1140400,7884,580,2.3,1131.0,135.0,98.0,70.0,23.0,6.0,5.0,3110.0,1600.0,1.6699029126213591,0.8148148148148148,0.10344827586206896,1.3,0.5,192.0
Scholtenskanaal,Emmen,Buurt,1140401,7889,75,2.1,160.0,168.0,97.0,76.0,18.0,6.0,5.0,3900.0,1930.0,1.5,0.625,0.06666666666666667,1.2,3.0,15.0
Verlengde Oosterdiep,Emmen,Buurt,1140402,7884,95,2.4,211.0,164.0,87.0,78.0,0.0,22.0,7.0,3670.0,2010.0,1.8235294117647058,0.8695652173913043,0.15789473684210525,1.4,1.7,57.0
Limietweg,Emmen,Buurt,1140408,7884,55,2.4,108.0,195.0,100.0,95.0,3.0,2.0,3.0,3600.0,1890.0,,0.7692307692307693,0.2727272727272727,1.6,1.8,54.0
Verspreide huizen Barger-Compascuum,Emmen,Buurt,1140409,7884,15,2.4,2.0,,,,,,,3530.0,1820.0,,0.0,0.3333333333333333,,2.4,44.0
Nieuw-Dordrecht-Centrum,Emmen,Buurt,1140500,7885,570,2.4,1418.0,159.0,100.0,69.0,29.0,3.0,7.0,3280.0,1610.0,1.6981132075471699,0.8178438661710037,0.14035087719298245,1.2,0.5,209.0
Oranjedorp,Emmen,Buurt,1140502,7885,165,2.6,314.0,255.0,96.0,98.0,0.0,2.0,9.0,4370.0,2030.0,1.6388888888888888,0.9195402298850575,0.42424242424242425,1.7,2.1,119.0
Vastenow,Emmen,Buurt,1140503,7885,75,2.6,467.0,231.0,95.0,90.0,0.0,10.0,6.0,4050.0,2030.0,1.8666666666666667,1.0256410256410255,0.3333333333333333,1.6,1.2,181.0
Herenstreek,Emmen,Buurt,1140504,7885,35,2.6,275.0,,100.0,90.0,0.0,10.0,21.0,4050.0,2000.0,,1.1111111111111112,0.14285714285714285,,1.3,89.0
Verspreide huizen Nieuw-Dordrecht,Emmen,Buurt,1140509,7885,1,2.3,,,,,,,,,,,0.0,0.0,,,24.0
Nieuw-Amsterdam-Centrum,Emmen,Buurt,1140600,7833,1835,2.3,1557.0,177.0,85.0,67.0,28.0,5.0,16.0,3100.0,1500.0,1.786833855799373,0.7906976744186046,0.1553133514986376,1.2,0.7,657.0
Barger-Erfscheidenveen,Emmen,Buurt,1140601,7833,50,2.3,260.0,,100.0,33.0,63.0,4.0,0.0,3680.0,1630.0,1.125,0.8695652173913043,0.2,,2.4,53.0
Langs de Vaart,Emmen,Buurt,1140608,7833,90,2.3,369.0,220.0,98.0,97.0,0.0,3.0,8.0,3250.0,1900.0,2.0,0.9302325581395349,0.2777777777777778,1.5,1.7,151.0
Verspreide huizen Nieuw-Amsterdam,Emmen,Buurt,1140609,7833,60,2.2,14.0,,100.0,86.0,0.0,14.0,16.0,4490.0,2020.0,1.8181818181818181,0.7692307692307693,0.25,1.3,2.1,82.0
Erica-Centrum,Emmen,Buurt,1140700,7887,1645,2.3,1891.0,179.0,92.0,71.0,25.0,4.0,11.0,3020.0,1520.0,1.8361774744027304,0.8300907911802854,0.14893617021276595,1.4,0.7,423.0
Amsterdamscheveld,Emmen,Buurt,1140701,7887,75,2.5,354.0,242.0,100.0,96.0,0.0,4.0,9.0,3640.0,1840.0,2.0,1.0526315789473684,0.26666666666666666,1.5,2.8,41.0
Beekweg,Emmen,Buurt,1140702,7887,85,2.5,47.0,143.0,98.0,62.0,0.0,38.0,11.0,4170.0,2360.0,2.0,0.9302325581395349,0.6470588235294118,1.7,2.4,46.0
Verlengde Vaart,Emmen,Buurt,1140707,7887,25,2.8,373.0,,97.0,87.0,0.0,13.0,13.0,3970.0,2250.0,,1.3333333333333333,0.6,,0.8,197.0
Ericasestraat,Emmen,Buurt,1140708,7887,75,2.6,271.0,254.0,100.0,93.0,1.0,6.0,6.0,4180.0,1910.0,1.7647058823529411,1.0526315789473684,0.4666666666666667,1.9,1.9,238.0
Verspreide huizen Erica,Emmen,Buurt,1140709,7887,95,2.7,16.0,256.0,97.0,88.0,0.0,12.0,16.0,4190.0,2130.0,1.9,0.8,0.3684210526315789,1.1,2.6,60.0
Klazienaveen-Noord,Emmen,Buurt,1140800,7891,2055,2.3,1674.0,166.0,77.0,60.0,34.0,6.0,15.0,2890.0,1370.0,1.7784090909090908,0.7859358841778697,0.170316301703163,1.2,0.6,940.0
Klazienaveen-Zuid,Emmen,Buurt,1140801,7891,2730,2.2,2170.0,154.0,83.0,61.0,34.0,5.0,16.0,2870.0,1470.0,1.7391304347826086,0.8360655737704918,0.1336996336996337,1.2,0.5,914.0
Barger-Oosterveen,Emmen,Buurt,1140802,7891,130,2.3,713.0,233.0,100.0,89.0,6.0,6.0,9.0,3750.0,1870.0,1.9565217391304348,0.9836065573770492,0.15384615384615385,1.6,2.6,56.0
Kloostermanswijk,Emmen,Buurt,1140803,7891,95,2.6,578.0,249.0,100.0,92.0,5.0,3.0,22.0,3830.0,1900.0,1.619047619047619,0.8163265306122449,0.21052631578947367,1.4,1.7,276.0
Dordsedijk,Emmen,Buurt,1140804,7891,35,2.7,362.0,,100.0,93.0,0.0,8.0,13.0,3600.0,1990.0,1.6666666666666667,0.9523809523809523,0.2857142857142857,,1.4,242.0
Derksweg,Emmen,Buurt,1140806,7891,50,2.6,284.0,,100.0,100.0,0.0,0.0,6.0,3890.0,1840.0,2.0,0.7692307692307693,0.2,1.7,1.7,79.0
Tuinbouwcentrum Klazienaveen,Emmen,Buurt,1140807,7891,75,2.8,59.0,96.0,100.0,51.0,0.0,48.0,9.0,4100.0,2350.0,1.7647058823529411,0.9523809523809523,0.6666666666666666,1.7,2.8,41.0
Verspreide huizen Klazienaveen,Emmen,Buurt,1140809,7891,75,2.6,10.0,248.0,96.0,89.0,0.0,11.0,17.0,3830.0,1760.0,1.8235294117647058,1.0526315789473684,0.3333333333333333,1.5,2.5,114.0
Zwartemeer-Centrum,Emmen,Buurt,1140900,7894,1150,2.4,1114.0,146.0,96.0,69.0,26.0,4.0,7.0,3310.0,1700.0,1.6728971962616823,0.8029197080291971,0.16956521739130434,1.3,0.6,329.0
Kamerlingswijk,Emmen,Buurt,1140901,7894,75,2.5,421.0,191.0,100.0,97.0,0.0,3.0,5.0,3600.0,1960.0,1.6470588235294117,1.0810810810810811,0.3333333333333333,1.5,1.7,99.0
Verspreide huizen Zwartemeer,Emmen,Buurt,1140909,7894,20,2.6,5.0,,,,,,,3760.0,1810.0,,0.0,0.25,,0.9,189.0
Schoonebeek,Emmen,Buurt,1141000,7761,1655,2.3,1795.0,175.0,91.0,70.0,25.0,5.0,14.0,2940.0,1440.0,1.841549295774648,0.8104575163398693,0.10876132930513595,1.3,0.6,472.0
Oosterse Bos en Middendorp,Emmen,Buurt,1141001,7761,75,2.6,152.0,313.0,97.0,86.0,0.0,14.0,3.0,4010.0,2360.0,1.9411764705882353,1.0256410256410255,0.4666666666666667,1.7,1.9,113.0
Westerse Bos,Emmen,Buurt,1141002,7761,50,2.7,117.0,,100.0,88.0,0.0,12.0,4.0,3700.0,2250.0,1.9,0.7692307692307693,0.5,,1.3,116.0
Zandpol,Emmen,Buurt,1141003,7764,200,2.3,493.0,174.0,99.0,67.0,29.0,3.0,15.0,3290.0,1470.0,1.7142857142857142,0.851063829787234,0.15,1.2,0.4,129.0
Industrieterrein De Vierslagen,Emmen,Buurt,1141004,7761,25,2.0,65.0,,87.0,74.0,0.0,26.0,52.0,4550.0,2270.0,1.8,0.0,2.4,,1.7,72.0
Verspreide huizen Schoonebeek,Emmen,Buurt,1141009,7761,75,2.4,9.0,254.0,98.0,94.0,2.0,4.0,9.0,3900.0,1810.0,1.9333333333333333,1.0810810810810811,0.4666666666666667,1.8,2.6,49.0
Veenoord,Emmen,Buurt,1141300,7844,995,2.2,814.0,157.0,97.0,56.0,41.0,3.0,11.0,2840.0,1500.0,,0.8411214953271028,0.1306532663316583,1.2,0.9,639.0
Ermerveen,Emmen,Buurt,1141308,7844,5,3.8,44.0,,,,,,,,,,0.0,0.0,,3.0,12.0
Verspreide huizen Veenoord,Emmen,Buurt,1141309,7844,5,3.0,10.0,,,,,,,,,,0.0,1.0,,1.5,243.0
Nieuw-Schoonebeek,Emmen,Buurt,1142100,7766,325,2.4,1241.0,175.0,93.0,74.0,19.0,6.0,15.0,3140.0,1680.0,1.8688524590163935,0.7843137254901961,0.1076923076923077,1.5,0.6,118.0
Westelijk Nieuw-Schoonebeek,Emmen,Buurt,1142101,7766,80,2.3,182.0,227.0,95.0,85.0,0.0,15.0,10.0,3960.0,2120.0,1.7647058823529411,1.0526315789473684,0.375,1.1,2.1,48.0
Oostelijk Nieuw-Schoonebeek,Emmen,Buurt,1142102,7766,105,2.4,164.0,218.0,92.0,87.0,0.0,13.0,6.0,3780.0,2280.0,1.7222222222222223,0.7843137254901961,0.2857142857142857,1.4,2.3,26.0
Verspreide huizen Nieuw-Schoonebeek,Emmen,Buurt,1142109,7766,15,2.7,3.0,,,,,,,3900.0,2020.0,1.3333333333333333,0.0,0.6666666666666666,,2.7,25.0
Weiteveen,Emmen,Buurt,1143200,7765,575,2.4,1150.0,173.0,79.0,64.0,17.0,19.0,19.0,3070.0,1600.0,1.677685950413223,0.7284768211920529,0.12173913043478261,1.4,0.9,163.0
Westelijk en oostelijk Weiteveen,Emmen,Buurt,1143201,7765,50,2.7,414.0,220.0,100.0,94.0,0.0,6.0,8.0,3580.0,1870.0,,0.7407407407407407,0.2,1.6,1.6,69.0
Verspreide huizen Weiteveen,Emmen,Buurt,1143209,7765,15,2.2,3.0,,,,,,,4020.0,2370.0,,0.0,0.3333333333333333,,1.9,52.0
Emmen-Centrum,Emmen,Buurt,1144000,7811,2470,1.5,3181.0,166.0,13.0,41.0,36.0,22.0,28.0,2110.0,990.0,1.9637096774193548,0.8849557522123894,0.25708502024291496,0.8,0.7,1431.0
Emmen-omgeving Oude Roswinkelerweg,Emmen,Buurt,1144100,7822,665,1.9,1473.0,207.0,71.0,63.0,33.0,4.0,23.0,2820.0,1530.0,2.0210526315789474,0.7913669064748201,0.14285714285714285,1.0,0.5,955.0
Emmen over 't spoor,Emmen,Buurt,1144101,7822,670,2.0,1104.0,217.0,76.0,60.0,36.0,4.0,3.0,2840.0,1620.0,1.9626168224299065,0.7773851590106007,0.1865671641791045,1.0,0.5,1207.0
Emmermeer,Emmen,Buurt,1144200,7815,3060,1.9,3480.0,129.0,65.0,40.0,52.0,8.0,19.0,2410.0,1270.0,1.7299107142857142,0.8249158249158249,0.10457516339869281,0.9,0.4,1288.0
Angelslo,Emmen,Buurt,1144300,7824,3865,2.0,3179.0,118.0,73.0,47.0,40.0,13.0,8.0,2470.0,1280.0,1.601436265709156,0.7947882736156352,0.056921086675291076,0.8,0.7,1323.0
