WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;MeestVoorkomendePostcode_113;HuishoudensTotaal_28;GemiddeldeHuishoudensgrootte_32;Bevolkingsdichtheid_33;GemiddeldeWOZWaardeVanWoningen_35;PercentageEengezinswoning_36;Koopwoningen_40;InBezitWoningcorporatie_42;InBezitOverigeVerhuurders_43;BouwjaarVanaf2000_46;GemiddeldAardgasverbruikTotaal_55;Gemiddeld_opleidingsniveau;Percent_inkomensontvangers;Bedrijfsvestigingen_per_huishuidens;PersonenautoSPerHuishouden_102;AfstandTotSchool_108;Omgevingsadressendichtheid_116
Kreken van Nibbeland;Nissewaard;Buurt;19303103;3214;330;2,8;1383,0;322,0;97,0;73,0;8,0;19,0;92,0;;2,1463414634146343;;0,15151515151515152;1,1;0,3;574,0
Harregat;Nissewaard;Buurt;19303104;3214;35;2,6;231,0;400,0;92,0;81,0;0,0;19,0;17,0;;1,7142857142857142;;2,5714285714285716;;0,7;708,0
Poldergebied Zuidland;Nissewaard;Buurt;19303105;3214;70;2,8;12,0;423,0;97,0;92,0;0,0;8,0;10,0;;2,0625;;0,7142857142857143;;2,1;136,0
Kern Simonshaven;Nissewaard;Buurt;19303301;3212;185;1,9;1783,0;227,0;78,0;51,0;45,0;4,0;24,0;;1,9655172413793103;;0,13513513513513514;1,3;2,5;88,0
Poldergebied Simonshaven;Nissewaard;Buurt;19303302;3212;75;2,6;21,0;295,0;99,0;79,0;0,0;21,0;73,0;;1,8421052631578947;;0,5333333333333333;1,4;2,2;293,0
Hekelingen-Dorp;Nissewaard;Buurt;19305001;3209;645;2,4;1176,0;299,0;94,0;71,0;26,0;2,0;14,0;;1,9669421487603307;;0,1937984496124031;1,3;1,7;972,0
Uitslag van Putten-Zuid;Nissewaard;Buurt;19305002;3205;10;2,9;14,0;;;;;;;;;;0,5;;1,6;620,0
Oud-Schuddebeurs;Nissewaard;Buurt;19305003;3209;15;3,1;14,0;;;;;;;;;;0,3333333333333333;;2,1;803,0
Dokkum binnen de Bolwerken;Noardeast-Fryslân;Buurt;19700000;9101;780;1,6;5316,0;136,0;48,0;39,0;15,0;45,0;3,0;;1,9642857142857142;;0,358974358974359;0,8;0,7;1357,0
Dokkum Noord;Noardeast-Fryslân;Buurt;19700001;9101;545;2,0;1249,0;175,0;69,0;48,0;42,0;10,0;25,0;;1,8518518518518519;;0,1743119266055046;1,0;0,6;1132,0
Dokkum Fonteinslanden;Noardeast-Fryslân;Buurt;19700002;9101;895;2,1;3463,0;156,0;95,0;31,0;67,0;2,0;12,0;;1,7829457364341086;;0,055865921787709494;0,9;0,3;1226,0
Dokkum Fugellan;Noardeast-Fryslân;Buurt;19700003;9101;1035;2,2;2796,0;146,0;81,0;45,0;53,0;2,0;8,0;;1,7784810126582278;;0,07246376811594203;0,9;0,4;734,0
Dokkum Betterwird;Noardeast-Fryslân;Buurt;19700004;9101;30;2,6;49,0;222,0;96,0;84,0;0,0;16,0;0,0;;1,6666666666666667;;2,6666666666666665;;1,1;572,0
Dokkum Hoedemakerspolder;Noardeast-Fryslân;Buurt;19700005;9101;575;1,7;3035,0;144,0;69,0;31,0;57,0;12,0;27,0;;1,8;;0,06086956521739131;0,9;0,3;1076,0
Dokkum De Woudhorne;Noardeast-Fryslân;Buurt;19700006;9101;165;2,2;605,0;266,0;80,0;97,0;0,0;3,0;20,0;;2,1739130434782608;;0,24242424242424243;1,0;1,0;587,0
De Trije Terpen;Noardeast-Fryslân;Buurt;19700007;9101;180;3,4;491,0;303,0;100,0;89,0;9,0;2,0;98,0;;2,142857142857143;;0,3333333333333333;1,5;1,5;347,0
Dokkum Weeshuislanden;Noardeast-Fryslân;Buurt;19700008;9102;470;2,6;2067,0;214,0;93,0;78,0;18,0;3,0;3,0;;1,9042553191489362;;0,1276595744680851;1,4;0,4;767,0
Dokkum Jantjeszeepolder;Noardeast-Fryslân;Buurt;19700009;9103;515;2,2;1216,0;180,0;99,0;56,0;35,0;9,0;0,0;;2,0;;0,07766990291262135;1,1;0,6;707,0
Dokkum Kooilanden;Noardeast-Fryslân;Buurt;19700010;9103;505;3,0;1573,0;290,0;97,0;99,0;0,0;1,0;36,0;;2,017391304347826;;0,15841584158415842;1,5;1,0;781,0
Dokkum Hogedijken;Noardeast-Fryslân;Buurt;19700011;9101;25;3,2;118,0;380,0;92,0;92,0;0,0;8,0;17,0;;2,0;;4,2;;0,7;1012,0
Metslawier;Noardeast-Fryslân;Buurt;19700100;9123;330;2,4;2161,0;157,0;81,0;67,0;30,0;3,0;26,0;;1,9473684210526316;;0,16666666666666666;1,3;0,4;142,0
Jouswier;Noardeast-Fryslân;Buurt;19700101;9124;15;3,0;18,0;;;;;;;;1,5;;0,6666666666666666;;2,2;12,0
Niawier;Noardeast-Fryslân;Buurt;19700102;9138;140;2,3;602,0;165,0;98,0;89,0;6,0;5,0;5,0;;1,64;;0,17857142857142858;1,5;1,7;59,0
Wetsens;Noardeast-Fryslân;Buurt;19700103;9122;25;2,3;19,0;301,0;100,0;83,0;0,0;13,0;9,0;;2,3333333333333335;;0,2;;3,1;10,0
Aalsum;Noardeast-Fryslân;Buurt;19700104;9121;45;2,7;28,0;294,0;100,0;89,0;0,0;11,0;7,0;;2,1;;0,5555555555555556;;1,5;125,0
Oostrum;Noardeast-Fryslân;Buurt;19700105;9125;50;2,5;538,0;193,0;96,0;94,0;0,0;6,0;4,0;;2,2;;0,2;;3,3;22,0
Verspreide huizen Metslawier;Noardeast-Fryslân;Buurt;19700107;9123;10;2,8;9,0;;;;;;;;;;0,5;;1,1;84,0
Verspreide huizen Niawier;Noardeast-Fryslân;Buurt;19700108;9138;15;3,2;9,0;;;;;;;;;;0,3333333333333333;;2,4;54,0
Verspreide huizen Oostrum;Noardeast-Fryslân;Buurt;19700109;9125;25;2,6;16,0;298,0;96,0;79,0;0,0;21,0;14,0;;1,75;;0,6;;2,7;116,0
Ee;Noardeast-Fryslân;Buurt;19700200;9131;275;2,3;1950,0;141,0;99,0;81,0;13,0;6,0;6,0;;1,8666666666666667;;0,16363636363636364;1,3;0,3;112,0
Engwierum;Noardeast-Fryslân;Buurt;19700201;9132;195;2,3;306,0;148,0;99,0;80,0;14,0;5,0;3,0;;1,9142857142857144;;0,23076923076923078;1,3;0,5;72,0
Dokkumer Nieuwe Zijlen;Noardeast-Fryslân;Buurt;19700202;9132;25;2,0;539,0;172,0;92,0;79,0;0,0;21,0;4,0;;;;0,2;;2,4;49,0
Verspreide huizen Ee;Noardeast-Fryslân;Buurt;19700208;9131;95;2,6;19,0;247,0;99,0;85,0;0,0;15,0;3,0;;1,9;;0,5263157894736842;1,4;1,5;49,0
Verspreide huizen Engwierum;Noardeast-Fryslân;Buurt;19700209;9132;30;2,3;8,0;307,0;97,0;86,0;0,0;14,0;9,0;;;;0,5;;1,8;32,0
Anjum;Noardeast-Fryslân;Buurt;19700300;9133;365;2,4;2559,0;139,0;99,0;71,0;26,0;3,0;6,0;;1,8125;;0,0958904109589041;1,2;0,4;137,0
Lioessens;Noardeast-Fryslân;Buurt;19700301;9134;130;2,3;1463,0;142,0;100,0;79,0;18,0;3,0;7,0;;1,736842105263158;;0,15384615384615385;1,1;0,3;73,0
Morra;Noardeast-Fryslân;Buurt;19700302;9135;70;2,4;1364,0;150,0;99,0;89,0;8,0;3,0;3,0;;1,8333333333333333;;0,14285714285714285;1,3;1,1;71,0
Oostmahorn;Noardeast-Fryslân;Buurt;19700303;9133;50;1,6;112,0;143,0;100,0;91,0;0,0;6,0;6,0;;;;0,4;;2,7;145,0
Verspreide huizen Anjum;Noardeast-Fryslân;Buurt;19700307;9133;80;2,5;11,0;259,0;96,0;88,0;0,0;12,0;7,0;;2,0;;0,5;1,7;1,6;64,0
Verspreide huizen Lioessens;Noardeast-Fryslân;Buurt;19700308;9134;25;3,0;16,0;255,0;100,0;93,0;0,0;7,0;0,0;;2,25;;0,4;;1,2;34,0
Verspreide huizen Morra;Noardeast-Fryslân;Buurt;19700309;9135;30;2,6;16,0;262,0;100,0;87,0;0,0;13,0;13,0;;;;0,5;;1,9;37,0
Oosternijkerk;Noardeast-Fryslân;Buurt;19700400;9137;325;2,6;1454,0;157,0;96,0;81,0;15,0;4,0;5,0;;1,8305084745762712;;0,2;1,5;0,4;116,0
Paesens;Noardeast-Fryslân;Buurt;19700401;9136;100;2,1;2067,0;136,0;96,0;83,0;13,0;3,0;0,0;;1,6666666666666667;;0,3;1,2;0,2;86,0
Verspreide huizen Oosternijkerk;Noardeast-Fryslân;Buurt;19700408;9137;45;2,7;20,0;260,0;100,0;94,0;0,0;6,0;4,0;;;;0,5555555555555556;;1,5;57,0
Verspreide huizen Paesens;Noardeast-Fryslân;Buurt;19700409;9136;15;2,0;6,0;;;;;;;;;;0,3333333333333333;;1,5;39,0
Ternaard;Noardeast-Fryslân;Buurt;19700500;9145;435;2,3;1689,0;146,0;81,0;62,0;18,0;19,0;8,0;;1,7654320987654322;;0,14942528735632185;1,4;0,5;186,0
Wierum;Noardeast-Fryslân;Buurt;19700501;9141;155;1,8;1194,0;113,0;100,0;75,0;15,0;9,0;1,0;;1,6956521739130435;;0,0967741935483871;1,2;4,9;65,0
Nes;Noardeast-Fryslân;Buurt;19700502;9143;160;1,9;1063,0;125,0;98,0;76,0;20,0;3,0;2,0;;1,7916666666666667;;0,15625;1,3;2,6;63,0
Moddergat;Noardeast-Fryslân;Buurt;19700503;9142;100;2,0;1121,0;114,0;99,0;76,0;9,0;10,0;3,0;;2,2666666666666666;;0,2;1,1;0,4;86,0
Verspreide huizen Ternaard;Noardeast-Fryslân;Buurt;19700506;9145;95;2,6;25,0;244,0;99,0;95,0;0,0;5,0;10,0;;2,0526315789473686;;0,42105263157894735;1,0;1,9;78,0
Verspreide huizen Wierum;Noardeast-Fryslân;Buurt;19700507;9141;15;1,7;6,0;;;;;;;;;;0,6666666666666666;;3,9;25,0
Verspreide huizen Nes;Noardeast-Fryslân;Buurt;19700508;9143;25;2,8;10,0;282,0;100,0;86,0;0,0;14,0;4,0;;2,0;;0,4;;2,7;45,0
Verspreide huizen Moddergat;Noardeast-Fryslân;Buurt;19700509;9142;10;3,5;12,0;;;;;;;;;;0,0;;1,3;56,0
Holwerd;Noardeast-Fryslân;Buurt;19700600;9151;655;2,2;2286,0;125,0;95,0;65,0;30,0;5,0;6,0;;1,7647058823529411;;0,12213740458015267;1,1;0,4;234,0
Waaxens;Noardeast-Fryslân;Buurt;19700601;9152;20;2,2;23,0;233,0;100,0;85,0;0,0;15,0;0,0;;;;0,25;;1,8;37,0
Brantgum;Noardeast-Fryslân;Buurt;19700602;9153;95;2,2;1665,0;158,0;96,0;89,0;5,0;6,0;7,0;;2,0;;0,2631578947368421;1,2;2,7;43,0
Foudgum;Noardeast-Fryslân;Buurt;19700603;9154;30;2,8;22,0;285,0;92,0;100,0;0,0;0,0;8,0;;1,6666666666666667;;0,6666666666666666;;2,7;25,0
Bornwird;Noardeast-Fryslân;Buurt;19700604;9156;45;3,0;29,0;272,0;100,0;92,0;0,0;8,0;10,0;;1,8888888888888888;;0,5555555555555556;;1,1;26,0
Raard;Noardeast-Fryslân;Buurt;19700605;9155;85;2,6;67,0;193,0;100,0;89,0;7,0;5,0;11,0;;2,0625;;0,17647058823529413;1,3;0,9;28,0
Verspreide huizen Holwerd;Noardeast-Fryslân;Buurt;19700608;9151;65;2,6;9,0;293,0;94,0;86,0;0,0;14,0;8,0;;2,1538461538461537;;0,6923076923076923;1,5;1,8;71,0
Verspreide huizen Brantgum;Noardeast-Fryslân;Buurt;19700609;9153;15;2,7;9,0;;;;;;;;;;0,6666666666666666;;2,9;30,0
Hantum;Noardeast-Fryslân;Buurt;19700700;9147;130;2,4;2311,0;135,0;100,0;77,0;17,0;6,0;9,0;;1,8636363636363635;;0,15384615384615385;1,4;1,1;57,0
Hantumhuizen;Noardeast-Fryslân;Buurt;19700701;9144;50;2,1;589,0;162,0;100,0;74,0;12,0;14,0;12,0;;2,125;;0,2;1,1;1,8;24,0
Hantumeruitburen;Noardeast-Fryslân;Buurt;19700702;9146;25;2,9;16,0;317,0;100,0;88,0;0,0;12,0;4,0;;1,8;;0,4;;2,2;9,0
Hiaure;Noardeast-Fryslân;Buurt;19700703;9148;25;2,8;27,0;298,0;100,0;79,0;0,0;17,0;4,0;;1,8333333333333333;;0,6;;2,7;12,0
Verspreide huizen Hantum;Noardeast-Fryslân;Buurt;19700708;9147;40;2,6;28,0;211,0;94,0;94,0;0,0;6,0;6,0;;1,7142857142857142;;0,25;;1,0;54,0
Verspreide huizen Hantumhuizen;Noardeast-Fryslân;Buurt;19700709;9144;45;2,7;24,0;251,0;95,0;82,0;0,0;18,0;2,0;;1,625;;0,3333333333333333;;1,3;23,0
Ferwerd;Noardeast-Fryslân;Buurt;19700800;9172;690;2,2;1869,0;145,0;86,0;60,0;24,0;6,0;7,0;;1,8125;;0,13043478260869565;1,1;0,4;269,0
Marrum;Noardeast-Fryslân;Buurt;19700801;9073;510;2,3;1865,0;150,0;98,0;68,0;22,0;10,0;8,0;;1,872093023255814;;0,19607843137254902;1,2;0,4;192,0
Blija;Noardeast-Fryslân;Buurt;19700802;9171;280;2,2;966,0;136,0;100,0;70,0;20,0;8,0;5,0;;1,8409090909090908;;0,10714285714285714;1,0;0,3;107,0
Hogebeintum;Noardeast-Fryslân;Buurt;19700803;9173;45;2,0;22,0;246,0;100,0;86,0;0,0;14,0;5,0;;2,2857142857142856;;0,4444444444444444;;2,2;24,0
Verspreide huizen Ferwerd;Noardeast-Fryslân;Buurt;19700807;9172;80;2,5;11,0;296,0;97,0;86,0;3,0;10,0;13,0;;2,066666666666667;;0,5;1,4;1,5;84,0
Verspreide huizen Marrum-Westernijkerk;Noardeast-Fryslân;Buurt;19700808;9073;85;2,6;19,0;234,0;99,0;92,0;0,0;8,0;3,0;;2,0;;0,4117647058823529;1,6;1,5;99,0
Verspreide huizen Blija;Noardeast-Fryslân;Buurt;19700809;9171;80;2,9;20,0;273,0;100,0;90,0;0,0;10,0;10,0;;1,8125;;0,625;2,1;1,4;43,0
Hallum;Noardeast-Fryslân;Buurt;19700900;9074;980;2,3;2518,0;159,0;96,0;70,0;26,0;4,0;12,0;;1,8620689655172413;;0,12244897959183673;1,2;0,5;335,0
Verspreide huizen Hallum;Noardeast-Fryslân;Buurt;19700909;9074;150;2,5;13,0;301,0;99,0;86,0;0,0;14,0;5,0;;1,8928571428571428;;0,5333333333333333;2,2;1,9;96,0
Birdaard;Noardeast-Fryslân;Buurt;19701000;9112;460;2,3;1554,0;197,0;99,0;78,0;17,0;5,0;20,0;;2,0375;;0,1956521739130435;1,2;0,6;155,0
Wanswerd;Noardeast-Fryslân;Buurt;19701001;9178;50;2,4;485,0;159,0;100,0;86,0;10,0;4,0;0,0;;1,9;;0,2;;2,2;24,0
Jislum;Noardeast-Fryslân;Buurt;19701002;9177;25;2,5;37,0;;100,0;85,0;0,0;15,0;5,0;;;;0,2;;2,0;14,0
Genum;Noardeast-Fryslân;Buurt;19701003;9174;40;2,3;44,0;261,0;100,0;85,0;0,0;15,0;5,0;;1,8571428571428572;;0,25;;3,5;19,0
Reitsum;Noardeast-Fryslân;Buurt;19701004;9175;55;2,5;45,0;253,0;96,0;87,0;0,0;6,0;9,0;;2,0;;0,2727272727272727;1,5;4,3;20,0
Lichtaard;Noardeast-Fryslân;Buurt;19701005;9176;35;2,7;40,0;244,0;100,0;87,0;0,0;3,0;0,0;;;;0,14285714285714285;;2,7;10,0
Janum;Noardeast-Fryslân;Buurt;19701006;9107;15;2,4;13,0;;;;;;;;;;1,0;;3,6;9,0
Verspreide huizen Birdaard;Noardeast-Fryslân;Buurt;19701008;9111;35;2,9;16,0;368,0;94,0;94,0;0,0;6,0;18,0;;2,0;;0,5714285714285714;;1,3;104,0
Verspreide huizen Wanswerd;Noardeast-Fryslân;Buurt;19701009;9178;45;2,3;15,0;294,0;100,0;90,0;0,0;10,0;18,0;;2,125;;0,4444444444444444;;3,3;17,0
Kollum;Noardeast-Fryslân;Buurt;19701100;9291;2330;2,2;1918,0;173,0;80,0;60,0;31,0;9,0;13,0;;1,8641025641025641;;0,16738197424892703;1,2;0,6;668,0
Verspreide huizen Kollum;Noardeast-Fryslân;Buurt;19701109;9291;110;2,6;25,0;321,0;97,0;92,0;0,0;8,0;8,0;;2,0;;0,5;1,1;1,8;131,0
Burum;Noardeast-Fryslân;Buurt;19701200;9851;220;2,4;661,0;174,0;97,0;79,0;14,0;6,0;2,0;;2,0;;0,18181818181818182;1,4;0,3;78,0
Kollumerpomp;Noardeast-Fryslân;Buurt;19701201;9293;140;2,2;318,0;147,0;100,0;89,0;7,0;3,0;5,0;;1,7916666666666667;;0,21428571428571427;1,6;0,3;48,0
Warfstermolen;Noardeast-Fryslân;Buurt;19701202;9852;65;2,1;191,0;162,0;100,0;78,0;18,0;4,0;7,0;;1,9;;0,3076923076923077;1,2;3,2;24,0
Munnekezijl;Noardeast-Fryslân;Buurt;19701203;9853;200;2,0;896,0;123,0;100,0;68,0;27,0;5,0;5,0;;1,59375;;0,1;1,2;0,3;74,0
Augsbuurt;Noardeast-Fryslân;Buurt;19701204;9292;25;3,2;18,0;368,0;100,0;81,0;0,0;19,0;15,0;;2,1666666666666665;;0,8;;2,6;14,0
Verspreide huizen Burum;Noardeast-Fryslân;Buurt;19701206;9851;35;2,4;10,0;342,0;89,0;81,0;0,0;19,0;6,0;;;;0,42857142857142855;;1,5;35,0
Verspreide huizen Kollumerpomp;Noardeast-Fryslân;Buurt;19701207;9293;50;2,6;10,0;353,0;100,0;82,0;0,0;18,0;16,0;;1,875;;0,6;;2,0;18,0
Verspreide huizen Warfstermolen;Noardeast-Fryslân;Buurt;19701208;9852;25;2,5;8,0;287,0;93,0;78,0;4,0;19,0;4,0;;2,0;;0,4;;3,2;11,0
Verspreide huizen Munnekezijl;Noardeast-Fryslân;Buurt;19701209;9853;45;2,3;4,0;306,0;98,0;82,0;0,0;18,0;8,0;;2,125;;0,6666666666666666;;2,0;29,0
Oudwoude;Noardeast-Fryslân;Buurt;19701300;9294;260;2,6;366,0;205,0;100,0;77,0;20,0;3,0;14,0;;1,88;;0,25;1,5;0,5;94,0
Triemen;Noardeast-Fryslân;Buurt;19701301;9296;120;2,6;135,0;244,0;100,0;86,0;9,0;5,0;8,0;;2,0;;0,25;1,6;1,4;59,0
Westergeest;Noardeast-Fryslân;Buurt;19701302;9295;200;2,5;673,0;197,0;97,0;83,0;14,0;3,0;6,0;;1,8108108108108107;;0,25;1,5;0,8;73,0
Verspreide huizen Oudwoude;Noardeast-Fryslân;Buurt;19701308;9294;75;2,4;25,0;286,0;100,0;81,0;12,0;7,0;38,0;;2,0;;0,4;1,3;1,5;66,0
Verspreide huizen Westergeest;Noardeast-Fryslân;Buurt;19701309;9295;45;2,6;13,0;331,0;100,0;91,0;0,0;9,0;5,0;;2,0;;0,7777777777777778;;1,9;38,0
Kollumerzwaag;Noardeast-Fryslân;Buurt;19701400;9298;1135;2,4;579,0;184,0;94,0;71,0;23,0;6,0;11,0;;1,7358490566037736;;0,1894273127753304;1,4;0,8;273,0
Zwagerbosch;Noardeast-Fryslân;Buurt;19701401;9299;230;2,5;1994,0;182,0;99,0;67,0;32,0;1,0;13,0;;1,7272727272727273;;0,15217391304347827;1,4;0,7;342,0
Veenklooster;Noardeast-Fryslân;Buurt;19701402;9297;50;2,2;42,0;210,0;90,0;62,0;0,0;38,0;2,0;;1,6666666666666667;;0,3;;1,8;66,0
Verspreide huizen Kollumerzwaag;Noardeast-Fryslân;Buurt;19701409;9298;70;2,7;28,0;281,0;97,0;94,0;0,0;6,0;18,0;;2,0;;0,42857142857142855;1,1;1,8;132,0
Kortgene-Dorp;Noord-Beveland;Buurt;16950000;4484;680;2,1;1940,0;190,0;93,0;73,0;17,0;6,0;19,0;;1,956140350877193;;0,22058823529411764;1,2;0,4;346,0
Kortgene-Oost;Noord-Beveland;Buurt;16950001;4484;165;1,9;465,0;355,0;98,0;81,0;0,0;13,0;8,0;;2,16;;0,3333333333333333;1,5;1,5;289,0
Verspreide huizen Kortgene;Noord-Beveland;Buurt;16950009;4484;40;2,4;7,0;459,0;98,0;85,0;0,0;13,0;20,0;;1,875;;0,75;;2,9;202,0
Colijnsplaat;Noord-Beveland;Buurt;16950100;4486;720;1,9;1676,0;164,0;86,0;59,0;18,0;16,0;16,0;;1,936936936936937;;0,19444444444444445;1,2;0,4;327,0
Verspreide huizen Colijnsplaat;Noord-Beveland;Buurt;16950109;4486;45;2,5;8,0;361,0;100,0;83,0;0,0;15,0;19,0;;2,125;;0,8888888888888888;;2,8;104,0
Kats;Noord-Beveland;Buurt;16950200;4485;165;2,0;1848,0;183,0;100,0;79,0;9,0;4,0;12,0;;2,074074074074074;;0,15151515151515152;1,3;4,9;74,0
Verspreide huizen Kats;Noord-Beveland;Buurt;16950209;4485;40;2,8;12,0;465,0;98,0;88,0;0,0;12,0;36,0;;1,8;;1,125;;4,4;35,0
Kamperland;Noord-Beveland;Buurt;16950300;4493;750;2,1;1535,0;211,0;89,0;74,0;18,0;3,0;18,0;;1,9596774193548387;;0,26;1,2;0,6;301,0
Recreatiegebied Kamperland;Noord-Beveland;Buurt;16950301;4493;105;1,7;250,0;442,0;99,0;62,0;0,0;14,0;7,0;;2,3846153846153846;;0,2857142857142857;1,4;3,6;113,0
Verspreide huizen Kamperland;Noord-Beveland;Buurt;16950309;4493;120;2,2;9,0;362,0;97,0;71,0;0,0;15,0;14,0;;2,15;;0,75;1,5;2,7;172,0
Wissenkerke;Noord-Beveland;Buurt;16950400;4491;520;2,0;2046,0;181,0;88,0;70,0;21,0;6,0;21,0;;2,024390243902439;;0,1346153846153846;1,2;0,3;203,0
Verspreide huizen Wissenkerke;Noord-Beveland;Buurt;16950409;4491;40;2,5;9,0;370,0;98,0;87,0;0,0;11,0;13,0;;;;1,25;;2,4;70,0
Geersdijk;Noord-Beveland;Buurt;16950500;4494;145;1,9;1562,0;177,0;98,0;72,0;20,0;4,0;11,0;;1,8333333333333333;;0,1724137931034483;0,9;2,7;75,0
Verspreide huizen Geersdijk;Noord-Beveland;Buurt;16950509;4494;25;1,7;19,0;;25,0;19,0;0,0;81,0;76,0;;2,3333333333333335;;0,6;;2,8;66,0
Roden;Noordenveld;Buurt;16990000;9301;3510;2,0;2166,0;217,0;74,0;59,0;32,0;7,0;12,0;;1,9349240780911063;;0,14387464387464388;1,1;0,5;1184,0
Roden West;Noordenveld;Buurt;16990010;9301;3015;2,3;3286,0;243,0;94,0;72,0;23,0;5,0;17,0;;2,172348484848485;;0,12437810945273632;1,2;0,8;1065,0
Industrieterrein Roden;Noordenveld;Buurt;16990020;9301;140;2,5;228,0;;67,0;81,0;3,0;15,0;15,0;;1,7666666666666666;;2,0714285714285716;2,3;1,2;556,0
Nieuw-Roden;Noordenveld;Buurt;16990030;9311;515;2,3;1173,0;245,0;95,0;68,0;27,0;5,0;27,0;;1,9891304347826086;;0,1650485436893204;1,3;0,7;718,0
Nietap;Noordenveld;Buurt;16990040;9312;410;2,1;1331,0;270,0;91,0;85,0;11,0;4,0;12,0;;2,1538461538461537;;0,15853658536585366;1,3;0,9;612,0
Leutingewolde;Noordenveld;Buurt;16990050;9313;55;2,2;199,0;;70,0;74,0;0,0;26,0;6,0;;;;0,45454545454545453;1,5;1,7;175,0
Foxwolde;Noordenveld;Buurt;16990060;9314;65;2,3;132,0;406,0;80,0;89,0;0,0;11,0;5,0;;2,4;;0,3076923076923077;1,7;1,8;46,0
Roderwolde;Noordenveld;Buurt;16990070;9315;125;2,3;444,0;326,0;98,0;83,0;15,0;2,0;11,0;;2,125;;0,24;1,4;0,3;47,0
Sandebuur;Noordenveld;Buurt;16990080;9315;10;3,2;248,0;;;;;;;;;;0,5;;1,5;18,0
Lieveren;Noordenveld;Buurt;16990090;9304;55;2,3;480,0;;82,0;90,0;0,0;10,0;4,0;;2,3333333333333335;;0,36363636363636365;1,7;2,9;30,0
Roderesch;Noordenveld;Buurt;16990100;9305;110;2,3;649,0;;98,0;84,0;13,0;3,0;4,0;;1,9444444444444444;;0,2727272727272727;1,3;2,7;61,0
Steenbergen;Noordenveld;Buurt;16990110;9307;30;2,6;614,0;;87,0;94,0;0,0;6,0;10,0;;2,0;;0,3333333333333333;;3,9;35,0
Buitengebied Roden Noord;Noordenveld;Buurt;16990120;9749;70;2,2;8,0;;94,0;91,0;0,0;7,0;7,0;;2,1538461538461537;;0,5;1,1;2,5;89,0
Buitengebied Roden Zuid;Noordenveld;Buurt;16990130;9307;255;2,2;26,0;;95,0;75,0;0,0;23,0;14,0;;2,022222222222222;;0,3333333333333333;1,8;2,8;101,0
Buitengebied Roden West;Noordenveld;Buurt;16990140;9312;125;2,6;54,0;;100,0;94,0;0,0;6,0;7,0;;2,037037037037037;;0,4;1,6;1,6;266,0
Norg;Noordenveld;Buurt;16990300;9331;1590;2,1;1558,0;240,0;84,0;68,0;19,0;12,0;5,0;;2,0815450643776825;;0,16981132075471697;1,2;1,1;477,0
Een;Noordenveld;Buurt;16990310;9342;215;2,5;657,0;;99,0;76,0;19,0;4,0;15,0;;2,0;;0,20930232558139536;1,5;0,4;69,0
Langelo;Noordenveld;Buurt;16990320;9333;80;2,4;411,0;;93,0;89,0;1,0;9,0;7,0;;2,3529411764705883;;0,5625;1,2;3,7;35,0
Peest;Noordenveld;Buurt;16990330;9334;30;2,5;251,0;;58,0;56,0;38,0;6,0;0,0;;2,375;;0,3333333333333333;;2,9;22,0
Zuidvelde;Noordenveld;Buurt;16990340;9335;30;2,4;283,0;425,0;94,0;91,0;0,0;9,0;3,0;;2,2857142857142856;;0,3333333333333333;;2,2;16,0
Westervelde;Noordenveld;Buurt;16990350;9337;65;2,3;264,0;;97,0;78,0;9,0;13,0;6,0;;2,076923076923077;;0,3076923076923077;1,3;0,4;72,0
Veenhuizen;Noordenveld;Buurt;16990360;9341;350;2,3;566,0;206,0;96,0;83,0;7,0;5,0;1,0;;1,9466666666666668;;0,18571428571428572;1,5;0,6;143,0
Verspreide huizen Huis ter Heide;Noordenveld;Buurt;16990370;9336;50;2,5;14,0;;92,0;76,0;0,0;24,0;14,0;;2,4;;0,5;1,3;3,4;24,0
Verspreide huizen Een-West;Noordenveld;Buurt;16990380;9343;85;2,6;46,0;;99,0;93,0;0,0;7,0;12,0;;2,0588235294117645;;0,4117647058823529;1,7;2,4;51,0
Verspreide huizen Norg;Noordenveld;Buurt;16990390;9331;220;1,8;24,0;138,0;99,0;61,0;0,0;39,0;19,0;;2,176470588235294;;0,20454545454545456;1,4;1,9;193,0
Verspreide huizen Een;Noordenveld;Buurt;16990400;9342;125;2,2;19,0;;94,0;76,0;0,0;24,0;29,0;;2,1153846153846154;;0,44;1,6;2,2;76,0
Verspreide huizen Langelo;Noordenveld;Buurt;16990410;9333;10;2,3;3,0;;;;;;;;;;0,5;;4,0;29,0
Verspreide huizen Peest;Noordenveld;Buurt;16990420;9334;15;2,7;11,0;;;;;;;;;;0,6666666666666666;;3,0;20,0
Verspreide huizen Zuidvelde;Noordenveld;Buurt;16990430;9335;35;2,6;9,0;457,0;92,0;78,0;0,0;22,0;8,0;;2,0;;0,8571428571428571;;3,8;9,0
Verspreide huizen Westervelde;Noordenveld;Buurt;16990440;9337;1;5,0;;;;;;;;;;;0,0;;;64,0
Verspreide huizen Veenhuizen;Noordenveld;Buurt;16990450;9341;120;2,2;13,0;280,0;90,0;90,0;0,0;3,0;1,0;;1,8666666666666667;;0,2916666666666667;1,5;2,4;27,0
Peize;Noordenveld;Buurt;16990600;9321;1890;2,3;1396,0;283,0;86,0;79,0;14,0;6,0;14,0;;2,237942122186495;;0,17195767195767195;1,2;0,8;466,0
