Peildatum,Netbeheerder,Provincie,Gemeente,CBS_Buurt,CBS_Buurtcode,Aantal_aansluitingen_in_CBS-buurt,Aantal_aansluitingen_met_opwekinstallatie,Opgesteld_vermogen,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,MeestVoorkomendePostcode_113,HuishoudensTotaal_28,GemiddeldeHuishoudensgrootte_32,Bevolkingsdichtheid_33,GemiddeldeWoningwaarde_35,PercentageEengezinswoning_36,Koopwoningen_40,InBezitWoningcorporatie_42,InBezitOverigeVerhuurders_43,BouwjaarVanaf2000_46,GemiddeldElektriciteitsverbruikTotaal_47,GemiddeldAardgasverbruikTotaal_55,Gemiddeld_opleidingsniveau,Percent_inkomensontvangers,Bedrijfsvestigingen_per_huishuidens,PersonenautoSPerHuishouden_102,AfstandTotSchool_108,Omgevingsadressendichtheid_116
202007.0,Enexis,Drenthe,Assen,Componistenbuurt West,1060204.0,292.0,95.0,338.0,Componistenbuurt West,Assen,Buurt,9402,280,2.4,2401.0,214.0,100.0,99.0,0.0,0.0,0.0,2630.0,1710.0,2.276595744680851,0.746268656716418,0.0714285714285714,1.2,0.6,1993.0
202007.0,Enexis,Drenthe,Assen,Componistenbuurt Oost,1060205.0,1012.0,189.0,502.0,Componistenbuurt Oost,Assen,Buurt,9402,1030,2.1,5350.0,146.0,64.0,42.0,51.0,6.0,11.0,2390.0,1250.0,1.8670886075949369,0.7852193995381063,0.0728155339805825,0.9,0.5,1853.0
202007.0,Enexis,Drenthe,Assen,Vreebergen,1060301.0,69.0,35.0,147.0,Vreebergen,Assen,Buurt,9403,60,2.0,973.0,385.0,100.0,100.0,0.0,0.0,2.0,3480.0,2040.0,2.5,0.8333333333333334,0.1666666666666666,1.6,1.6,479.0
202007.0,Enexis,Drenthe,Assen,Houtlaan,1060302.0,139.0,74.0,453.0,Houtlaan,Assen,Buurt,9403,130,2.6,1971.0,505.0,100.0,96.0,0.0,4.0,80.0,3930.0,1700.0,2.5172413793103448,0.8695652173913043,0.2692307692307692,1.6,1.7,480.0
202007.0,Enexis,Drenthe,Assen,Amelterhout,1060303.0,125.0,36.0,132.0,Amelterhout,Assen,Buurt,9403,125,2.4,2643.0,248.0,100.0,98.0,0.0,1.0,1.0,2670.0,1790.0,2.333333333333333,0.6666666666666666,0.08,1.2,1.3,845.0
202007.0,Enexis,Drenthe,Assen,Schildersbuurt,1060304.0,619.0,153.0,351.0,Schildersbuurt,Assen,Buurt,9403,555,2.1,5279.0,159.0,91.0,54.0,40.0,5.0,51.0,2360.0,1030.0,1.9285714285714288,0.8403361344537815,0.09009009009009,1.0,1.1,1715.0
202007.0,Enexis,Drenthe,Assen,Vredeveld Noord,1060305.0,1030.0,212.0,595.0,Vredeveld Noord,Assen,Buurt,9404,990,1.8,4306.0,140.0,55.0,57.0,24.0,18.0,15.0,1980.0,1170.0,2.071895424836601,0.8450704225352113,0.106060606060606,0.8,0.5,1793.0
202007.0,Enexis,Drenthe,Assen,Sluisdennen,1060306.0,156.0,42.0,211.0,Sluisdennen,Assen,Buurt,9404,140,1.9,806.0,358.0,40.0,52.0,0.0,4.0,16.0,2710.0,1540.0,2.235294117647059,0.8695652173913043,0.0714285714285714,1.2,0.6,1066.0
202007.0,Enexis,Drenthe,Assen,Vredeveld Zuid,1060307.0,1207.0,283.0,657.0,Vredeveld Zuid,Assen,Buurt,9404,1175,1.8,4830.0,137.0,49.0,39.0,52.0,8.0,9.0,2030.0,1160.0,1.8641975308641976,0.8256880733944955,0.0638297872340425,0.8,0.3,1175.0
202007.0,Enexis,Drenthe,Assen,De Dorpen,1060308.0,662.0,314.0,689.0,De Dorpen,Assen,Buurt,9404,625,1.7,4783.0,122.0,65.0,27.0,53.0,20.0,11.0,1840.0,1230.0,1.8505747126436785,0.8144796380090498,0.072,0.7,0.4,1672.0
